,attack_type,fpr_1,tpr_1,thresholds_1,fpr_2,tpr_2,thresholds_2,pr_auc,roc_auc
0,MITM,4.472700552697997e-05,0.00021148036253776435,0.08178891472323442,0.00048560748857863966,0.0038066465256797583,0.04065648634448073,0.35321651941585747,0.7186243388071634
1,http_ddos,4.472700552697997e-05,0.05482812230091553,0.07871857724592801,0.0004983866330149196,0.21064087061668682,0.040411800140214005,0.7785748298815862,0.9392348893998327
2,UDP_scan,6.3895722181399955e-06,0.0,0.13465726277594087,6.3895722181399955e-06,0.0,0.13465726277594087,0.19105513024082144,0.8956980697578507
3,Uploading_attack,4.472700552697997e-05,0.15286522674742967,0.07868709238148346,0.0004983866330149196,0.26487075263675247,0.040411214818915554,0.8645842715654635,0.9527678508279174
4,Hide_and_seek,6.3895722181399955e-06,0.0,0.13465726277594087,6.3895722181399955e-06,0.0,0.13465726277594087,0.20672759659640694,0.7243846429701383
5,Sparta,4.472700552697997e-05,0.881418774813794,0.07876781562484002,0.0004983866330149196,0.9187255963513469,0.04044681335605756,0.9748005368052193,0.9895076982830077
6,Torii,3.1947861090699976e-05,0.0004381030139495982,0.08584493406362544,0.0004536596274879397,0.0010156024414286141,0.041807807269319326,0.23768350884478134,0.07609897334694442
7,XSS_attack,6.3895722181399955e-06,0.0,0.13465726277594087,6.3895722181399955e-06,0.0,0.13465726277594087,0.14439797399800397,0.7007425813595496
8,Vulnerability_scanner,4.472700552697997e-05,3.610238636773891e-05,0.07882814192283354,0.0004983866330149196,0.004187876818657713,0.04047124730512536,0.41731683706073774,0.8536561936032494
9,SQL_injection,6.3895722181399955e-06,0.0,0.13465726277594087,6.3895722181399955e-06,0.0,0.13465726277594087,0.5650107424311342,0.8960642126014582
10,Okiru,4.472700552697997e-05,0.08489203163017031,0.0786908138375506,0.0004983866330149196,0.8084321776155717,0.040411759341874846,0.9812780408830989,0.9956670866430657
11,Ransomware,4.472700552697997e-05,0.0072562358276643995,0.08044817150448796,0.00046643877192421965,0.011156462585034013,0.04082681512696741,0.11193135282719463,0.7038915551950735
12,Muhstik,6.3895722181399955e-06,0.0,0.13465726277594087,6.3895722181399955e-06,0.0,0.13465726277594087,0.17921310444719799,0.6977097729719659
13,bruteforce,6.3895722181399955e-06,0.0,0.13465726277594087,6.3895722181399955e-06,0.0,0.13465726277594087,0.3777882682165624,0.7682716836025629
14,Hakai,6.3895722181399955e-06,0.0,0.13465726277594087,6.3895722181399955e-06,0.0,0.13465726277594087,0.07501421914416884,0.12899444531195958
15,DOS_synflooding,4.472700552697997e-05,0.34686823413225965,0.07869717628133242,0.0004983866330149196,0.4139096744786721,0.040422904339629924,0.5555573898103134,0.5621982711732969
16,Password_attack,6.3895722181399955e-06,0.0,0.13465726277594087,6.3895722181399955e-06,0.0,0.13465726277594087,0.17958710312634935,0.6313285853144583
