,attack_type,fpr_1,tpr_1,thresholds_1,fpr_2,tpr_2,thresholds_2,pr_auc,roc_auc
0,MITM,3.8337433308839976e-05,0.0008761329305135952,0.16780662536621094,0.00046643877192421965,0.00229607250755287,0.14639180898666382,0.38327308224158246,0.8420539003850248
1,http_ddos,4.472700552697997e-05,0.22401105544999136,0.16695131361484528,0.0004983866330149196,0.2686128865088962,0.14572975039482117,0.8274992041094733,0.9555800647973703
2,UDP_scan,6.3895722181399955e-06,0.0,0.23535887897014618,0.0004983866330149196,0.010665586607263399,0.14574064314365387,0.11923572050740161,0.7839957386116668
3,Uploading_attack,4.472700552697997e-05,0.13296671183018516,0.16695262491703033,0.0004983866330149196,0.19553146834568688,0.14576415717601776,0.9250854853514671,0.9799901389656079
4,Hide_and_seek,6.3895722181399955e-06,0.0,0.23535887897014618,6.3895722181399955e-06,0.0,0.23535887897014618,0.18787307673117942,0.7063003537017337
5,Sparta,4.472700552697997e-05,0.9345408012599665,0.16704989969730377,0.0004919970607967797,0.9375266594481084,0.14582659304141998,0.9733704442570627,0.9882548813125638
6,Torii,4.472700552697997e-05,0.0005476287674369978,0.16714328527450562,0.00046004919970607966,0.0007168958410084335,0.14650073647499084,0.4370940314864048,0.6585091111889467
7,XSS_attack,6.3895722181399955e-06,0.0,0.23535887897014618,6.3895722181399955e-06,0.0,0.23535887897014618,0.13198794185996796,0.6885887215719038
8,Vulnerability_scanner,6.3895722181399955e-06,0.0,0.23535887897014618,0.0004536596274879397,3.610238636773891e-05,0.14685110747814178,0.49870123522632936,0.9047423547331858
9,SQL_injection,6.3895722181399955e-06,0.0,0.23535887897014618,6.3895722181399955e-06,0.0,0.23535887897014618,0.5872393003082284,0.8928964676738996
10,Okiru,4.472700552697997e-05,0.2672977493917275,0.1669514775276184,0.0004983866330149196,0.571205900243309,0.14571897685527802,0.9825607100454891,0.9961999714762345
11,Ransomware,2.5558288872559982e-05,0.0039002267573696146,0.17252175509929657,0.00046643877192421965,0.0045351473922902496,0.14641407132148743,0.12419772656345315,0.7674330296402982
12,Muhstik,6.3895722181399955e-06,0.0,0.23535887897014618,6.3895722181399955e-06,0.0,0.23535887897014618,0.1818253742087493,0.7276320174831761
13,bruteforce,6.3895722181399955e-06,0.0,0.23535887897014618,6.3895722181399955e-06,0.0,0.23535887897014618,0.5318105927927137,0.8667211013394813
14,Hakai,6.3895722181399955e-06,0.0,0.23535887897014618,6.3895722181399955e-06,0.0,0.23535887897014618,0.18195047870105693,0.6931011609161369
15,DOS_synflooding,4.472700552697997e-05,0.4574771147491169,0.1671634018421173,0.0004919970607967797,0.4622250921107608,0.14585192501544952,0.6370215584354292,0.8395493723309537
16,Password_attack,6.3895722181399955e-06,0.0,0.23535887897014618,6.3895722181399955e-06,0.0,0.23535887897014618,0.36979258207810667,0.8766751408735061
