,attack_type,fpr_1,tpr_1,thresholds_1,fpr_2,tpr_2,thresholds_2,pr_auc,roc_auc
0,MITM,4.808000512853388e-05,0.7140483383685801,0.18270339,0.0004968267196615168,0.8353474320241692,0.12869132,0.9866251803962378,0.9941160662944348
1,http_ddos,4.808000512853388e-05,0.7278977370875799,0.18271029,0.0004968267196615168,0.8506823285541544,0.12872933,0.9936101718644124,0.9974805948578829
2,UDP_scan,4.808000512853388e-05,0.1699743485891724,0.1827838,0.0004888133854734278,0.2935061428378561,0.12893736,0.5880871533844867,0.9379640647648595
3,Uploading_attack,4.808000512853388e-05,0.7476421986663478,0.18272975,0.0004968267196615168,0.8767035944847373,0.12868321,0.9965732965610652,0.9983220846524561
4,Hide_and_seek,8.01333418808898e-06,0.0,0.35187778,8.01333418808898e-06,0.0,0.35187778,0.6973958587070114,0.9418186541414083
5,Sparta,4.808000512853388e-05,0.9457623781868294,0.18274589,0.0004888133854734278,0.9495357154575581,0.12907743,0.9873392421899746,0.993901574633814
6,Torii,4.00666709404449e-05,0.0004580167873109436,0.18705827,0.0004808000512853388,0.0007368096143697788,0.12949419,0.5104277659831362,0.6937141500496644
7,XSS_attack,8.01333418808898e-06,0.0,0.35187778,8.01333418808898e-06,0.0,0.35187778,0.07759468884620783,0.3029405576534074
8,Vulnerability_scanner,4.808000512853388e-05,0.870428535326185,0.18274933,0.0004968267196615168,0.9480847684031914,0.12869887,0.9976286090983977,0.9992722393112792
9,SQL_injection,4.808000512853388e-05,0.8974389006012337,0.18271911,0.0004968267196615168,0.936636214570157,0.12868771,0.9974551646715689,0.9982357759732903
10,Okiru,4.808000512853388e-05,0.9851733576642335,0.18274179,0.0004888133854734278,0.9938412408759124,0.12911053,0.9994811659891696,0.9998131897560266
11,Ransomware,4.00666709404449e-05,0.0045351473922902496,0.18985894,0.0004808000512853388,0.0066213151927437645,0.12959366,0.14073504330289313,0.614454135672689
12,Muhstik,8.01333418808898e-06,0.0,0.35187778,8.01333418808898e-06,0.0,0.35187778,0.7108047197949577,0.9646092631834183
13,bruteforce,4.808000512853388e-05,0.12024430589133478,0.1827204,0.0004968267196615168,0.3760020358824278,0.1287105,0.685957984870746,0.9226110481713565
14,Hakai,8.01333418808898e-06,0.0,0.35187778,8.01333418808898e-06,0.0,0.35187778,0.22095176274337056,0.7070736069294606
15,DOS_synflooding,4.808000512853388e-05,0.47175903065294184,0.18324102,0.0004968267196615168,0.4779124093136324,0.12874544,0.6909032642850523,0.8672269653931324
16,Password_attack,4.808000512853388e-05,0.7682189963893596,0.1827562,0.0004968267196615168,0.848611008768698,0.12870358,0.9906182150939402,0.9962440111796917
