,attack_type,fpr_1,tpr_1,thresholds_1,fpr_2,tpr_2,thresholds_2,pr_auc,roc_auc
0,MITM,4.808000512853388e-05,0.6156193353474321,0.062364824439785534,0.0004968267196615168,0.7451057401812688,0.03421688513422694,0.9790799146097111,0.9903127040252986
1,http_ddos,4.808000512853388e-05,0.6742788046294697,0.06235578258371221,0.0004968267196615168,0.7441354292623942,0.034235671808147676,0.9840204180668568,0.9950545574479569
2,UDP_scan,8.01333418808898e-06,0.0,0.328228583258271,0.0004968267196615168,0.001755096530309167,0.03447818667540523,0.5288164464751586,0.949492662148665
3,Uploading_attack,4.808000512853388e-05,0.7929651178236498,0.06240324976719453,0.0004968267196615168,0.8391381737998459,0.03423023078854141,0.9939671590914618,0.997279602053545
4,Hide_and_seek,8.01333418808898e-06,0.0,0.328228583258271,8.01333418808898e-06,0.0,0.328228583258271,0.7642023824704326,0.9446282443591003
5,Sparta,4.808000512853388e-05,0.9449092758473603,0.06292689094116004,0.0004968267196615168,0.9465826688978574,0.0342668337024039,0.9847540010665752,0.9926087689444059
6,Torii,4.00666709404449e-05,0.0004580167873109436,0.06859581514218452,0.0004968267196615168,0.0007567233877311243,0.034721381694419275,0.3131636128968062,0.24861904551471498
7,XSS_attack,8.01333418808898e-06,0.0,0.328228583258271,8.01333418808898e-06,0.0,0.328228583258271,0.32033209517690286,0.8604603208693808
8,Vulnerability_scanner,4.808000512853388e-05,0.8122675908877577,0.06238083029177509,0.0004968267196615168,0.8493086393010578,0.03426828089992256,0.9948306524172075,0.9984839098047085
9,SQL_injection,4.808000512853388e-05,0.8770203794799719,0.062433947360072496,0.0004968267196615168,0.9021238385258062,0.03422091161264315,0.9922860783662323,0.995300164169047
10,Okiru,4.808000512853388e-05,0.9454455596107056,0.06242875981571238,0.0004968267196615168,0.9584854014598541,0.034322397547249986,0.9978716147324562,0.9992405678133573
11,Ransomware,4.808000512853388e-05,0.004807256235827664,0.06345809672930176,0.0004888133854734278,0.009342403628117914,0.03490159975520299,0.17510223372535097,0.752751197130347
12,Muhstik,8.01333418808898e-06,0.0,0.328228583258271,0.0004968267196615168,0.0002420604182804028,0.034644752199277,0.7332709900738498,0.9263816287746651
13,bruteforce,4.808000512853388e-05,0.13665860796539,0.06235686695027574,0.00012821334700942368,0.6033846545362005,0.04996363492364149,0.7583132159319367,0.9354930574446615
14,Hakai,8.01333418808898e-06,0.0,0.328228583258271,8.01333418808898e-06,0.0,0.328228583258271,0.14938267860595164,0.4995274797382219
15,DOS_synflooding,4.808000512853388e-05,0.46735290766133625,0.06272024502078027,0.0004968267196615168,0.47023967789721577,0.03430411282701342,0.5851749016183112,0.5713426427479531
16,Password_attack,4.808000512853388e-05,0.6812320389064918,0.06237306320482829,0.0004968267196615168,0.7476972957040748,0.034217018563199954,0.9760573079068356,0.9918649609739347
