,attack_type,fpr_1,tpr_1,thresholds_1,fpr_2,tpr_2,thresholds_2,pr_auc,roc_auc
0,data_theft,0.0,0.5078369905956113,2.4051525592803955,0.0004983866330149196,0.541100661790317,0.07488498836755753,0.7981158049356073,0.9617201835625506
1,http_ddos,4.472700552697997e-05,0.3038175850751425,0.10487733781337738,0.0004983866330149196,0.44923130074278805,0.07489415258169174,0.9312334713832062,0.9808017381137525
2,port_scan_router,4.472700552697997e-05,0.99445,0.10522082448005676,0.00048560748857863966,0.9962,0.07530458271503448,0.9996191494321511,0.9997066477908054
3,bashlite,4.472700552697997e-05,0.7255540384413401,0.10493230819702148,0.00048560748857863966,0.744459615586598,0.0751132071018219,0.8186314756979405,0.9218612445369317
4,udp_ddos_router,4.472700552697997e-05,0.9976224599762246,0.10517681390047073,0.0004983866330149196,0.9981335199813351,0.07489266991615295,0.9997590929085144,0.9998011560923217
6,tcp_ddos_router,4.472700552697997e-05,0.9973798411528699,0.10528119653463364,0.0004728283441423597,0.998103114167963,0.07563463598489761,0.9997839188673446,0.9998382686073322
7,os_scan,4.472700552697997e-05,0.5465327263130113,0.10486000031232834,0.0004983866330149196,0.6161091316970176,0.07489261776208878,0.9502224433357381,0.9732492203760676
8,udp_ddos,4.472700552697997e-05,0.9638,0.10490188002586365,0.00048560748857863966,0.9728,0.07517185062170029,0.9897974070167572,0.9978992556148365
9,mirai,4.472700552697997e-05,0.9623675455028378,0.10528717190027237,0.0004536596274879397,0.9649677076634887,0.07629644870758057,0.9795975611425418,0.9884586403246675
10,mirai_router_filter,4.472700552697997e-05,0.28437587657784014,0.10486546158790588,0.0004983866330149196,0.4276858345021038,0.07488992810249329,0.8715649862501677,0.9555165720455857
11,service_scan,4.472700552697997e-05,0.3427031012395742,0.1048644408583641,0.0004983866330149196,0.3921939081148334,0.07489049434661865,0.946635874499556,0.964738175692275
12,aidra,4.472700552697997e-05,0.3656704980842912,0.10488829761743546,0.0004983866330149196,0.4772413793103448,0.07489653676748276,0.6641098379714077,0.8707684581827592
13,os_scan_router,4.472700552697997e-05,0.9685079443892751,0.10489281266927719,0.0004983866330149196,0.987909632571996,0.07488910108804703,0.9994041901059386,0.9995421339305733
14,keylogging,0.0,0.5274247491638796,0.2677430510520935,0.0004983866330149196,0.5372909698996655,0.0749766081571579,0.7870240111380868,0.9659825682212382
15,tcp_ddos,4.472700552697997e-05,0.9024,0.10547761619091034,0.00048560748857863966,0.9094,0.07525405287742615,0.9269668520331796,0.9478811654579725
